type,code,parent_code,name_uz,name_uz_cyril,name_ru,name_kaa,deleted
PROFESSION,1,,Davlat hakami,Давлат ҳаками,Арбитр Государственный,Mámleket arbitri,false
PROFESSION,2,,O’zbekiston Respublikasi Bosh prokurori,Ўзбекистон Республикаси Бош прокурори,Генеральный прокурор Республики Узбекистан,Ózbekstan Respublikası Bas prokurorı,false
PROFESSION,3,,Oliy Majlis Qonunchilik palatasi Deputati (Oliy Majlis Deputati),Олий Мажлис Қонунчилик палатаси Депутати (Олий Мажлис Депутати),Депутат Законодательной палаты Олий Мажлиса (Депутат Олий Мажлиса),Oliy Májilis Nızamshılıq palatası Deputatı (Oliy Májilis Deputatı),false
PROFESSION,4,,O’zbekiston Respublikasi Oliy Majlis Qonunchilik palatasi Jamoat fondi direktori,Ўзбекистон Республикаси Олий Мажлис Қонунчилик палатаси Жамоат фонди директори,Директор Общественного фонда Законодательной палаты Олий Мажлиса Республики Узбекистан,Ózbekstan Respublikası Oliy Májilis Nızamshılıq palatası Jámáát fondı direktorı,false
PROFESSION,5,,Oliy Majlis Senati apparati bo’lim mudiri,Олий Мажлис Сенати аппарати бўлим мудири,Заведующий отделом аппарата Сената Олий Мажлиса,Oliy Májilis Senatı apparatı bólim baslıǵı,false
PROFESSION,6,,O’zbekiston Respublikasi Oliy Majlisi Senati Raisi kotibiyati mudiri,Ўзбекистон Республикаси Олий Мажлиси Сенати Раиси котибияти мудири,Заведующий Секретариатом Председателя Сената Олий Мажлиса Республики Узбекистан,Ózbekstan Respublikası Oliy Májilisi Senatı Baslıǵı xatkerligi baslıǵı,false
PROFESSION,7,,O’zbekiston Respublikasi Bosh prokurori o’rinbosari,Ўзбекистон Республикаси Бош прокурори ўринбосари,Заместитель Генерального прокурора Республики Узбекистан,Ózbekstan Respublikası Bas prokurorı orınbasarı,false
PROFESSION,8,,Oliy Majlisi Senati apparati bo’lim mudiri o’rinbosari,Олий Мажлиси Сенати аппарати бўлим мудири ўринбосари,Заместитель заведующего отделом аппарата Сената Олий Мажлиса,Oliy Májilisi Senatı apparatı bólim baslıǵı orınbasarı,false
PROFESSION,9,,Oliy sud raisi o’rinbosari,Олий суд раиси ўринбосари,Заместитель председателя Верховного суда,Joqarı sud baslıǵı orınbasarı,false
PROFESSION,10,,Oliy xo’jalik sudi raisi o’rinbosari,Олий хўжалик суди раиси ўринбосари,Заместитель председателя Высшего хозяйственного суда,Joqarı xojalıq sudı baslıǵı orınbasarı,false
PROFESSION,11,,Jo’qorg’i Kenges raisi o’rinbosari,Жўқорғи Кенгес раиси ўринбосари,Заместитель председателя Жокаргы Кенеса,Joqarǵı Keńes baslıǵı orınbasarı,false
PROFESSION,12,,Oliy Majlis Senati qo’mitasi (komissiyasi) raisi o’rinbosari,Олий Мажлис Сенати қўмитаси (комиссияси) раиси ўринбосари,Заместитель председателя комитета (комиссии) Сената Олий Мажлиса,Oliy Májilis Senatı komiteti (komissiyası) baslıǵı orınbasarı,false
PROFESSION,13,,Oliy Majlis Qonunchilik palatasi qo’mitasi raisi o’rinbosari,Олий Мажлис Қонунчилик палатаси қўмитаси раиси ўринбосари,Заместитель председателя комитета Законодательной палаты Олий Мажлиса,Oliy Májilis Nızamshılıq palatası komiteti baslıǵı orınbasarı,false
PROFESSION,14,,Oliy Majlis raisi o’rinbosari,Олий Мажлис раиси ўринбосари,Заместитель председателя Олий Мажлиса,Oliy Májilis baslıǵı orınbasarı,false
PROFESSION,15,,Oliy Majlis Senati raisi o’rinbosari,Олий Мажлис Сенати раиси ўринбосари,Заместитель председателя Сената Олий Мажлиса,Oliy Májilis Senatı baslıǵı orınbasarı,false
PROFESSION,16,,Sud raisi o’rinbosari,Суд раиси ўринбосари,Заместитель председателя суда,Sud baslıǵı orınbasarı,false
PROFESSION,17,,Markaziy saylov komissiyasi raisi o’rinbosari,Марказий сайлов комиссияси раиси ўринбосари,Заместитель Председателя Центральной избирательной комиссии,Oraylıq saylaw komissiyası baslıǵı orınbasarı,false
PROFESSION,18,,Prokuror o’rinbosari,Прокурор ўринбосари,Заместитель прокурора,Prokuror orınbasarı,false
PROFESSION,37,,Jo’qorg’i Kenges qo’mitasi (komissiyasi) raisi,Жўқорғи Кенгес қўмитаси (комиссияси) раиси,Председатель комитета (комиссии) Жокаргы Кенеса,Joqarǵı Keńes komiteti (komissiyası) baslıǵı,false
PROFESSION,794,,Kotibiyat mudiri,Котибият мудири,Заведующий секретариатом,Xatkerlik baslıǵı,false
