code,alpha2_code,iso_3166_2_code,citizenship_code,name_uz,name_uz_cyril,name_ru,name_kaa
ABH,AB,ISO 3166-2:AB,739001135,Abxaziya,Абхазия,Абхазия,Abxaziya
ABW,AW,ISO 3166-2:AW,106,Aruba,Аруба,Аруба,Aruba
AFG,AF,ISO 3166-2:AF,53,Afgʻoniston,Афғонистон,Афганистан,Awǵanstan
AGO,AO,ISO 3166-2:AO,93,Angola,Ангола,Ангола,Angola
AIA,AI,ISO 3166-2:AI,255,Angilya,Ангилья,Ангилья,Angilya
ALA,AX,ISO 3166-2:AX,,Aland orollari,Аланд ороллари,Аландские о-ва,Aland atawları
ALB,AL,ISO 3166-2:AL,121,Albaniya,Албания,Албания,Albaniya
AND,AD,ISO 3166-2:AD,57,Andorra,Андорра,Андорра,Andorra
ANT,AN,ISO 3166-2:AN,99,Niderlandiya antil orollari,Нидерландия антил ороллари,Нидерландские антильские острова,Niderland antilleri
ARE,AE,ISO 3166-2:AE,105,Birlashgan arab amirliklari,Бирлашган араб амирликлари,Объединенные арабские эмираты,Birlesken arab ámirlikleri
ARG,AR,ISO 3166-2:AR,9,Argentina,Аргентина,Аргентина,Argentina
ARM,AM,ISO 3166-2:AM,122,Armaniston,Арманистон,Армения,Armeniya
ASM,AS,ISO 3166-2:AS,3,Amerika samoasi,Америка самоаси,Американское самоа,Amerika samoası
ATA,AQ,ISO 3166-2:AQ,5,Antarktida,Антарктида,Антарктида,Antarktida
ATF,TF,ISO 3166-2:TF,,Fransuz janubiy hududlari,Француз жанубий ҳудудлари,Французские южные территории,Francuz qubla territoriyaları
ATG,AG,ISO 3166-2:AG,6,Antigua va barbuda,Антигуа ва барбуда,Антигуа и барбуда,Antigua hám barbuda
AUS,AU,ISO 3166-2:AU,254,Avstraliya,Австралия,Австралия,Avstraliya
AUT,AT,ISO 3166-2:AT,0,Avstriya,Австрия,Австрия,Avstriya
AZE,AZ,ISO 3166-2:AZ,1,Ozarbayjon,Озарбайжон,Азербайджан,Ázerbayjan
BDI,BI,ISO 3166-2:BI,127,Burundi,Бурунди,Бурунди,Burundi
BEL,BE,ISO 3166-2:BE,63,Belgiya,Бельгия,Бельгия,Belgiya
BEN,BJ,ISO 3166-2:BJ,95,Benin,Бенин,Бенин,Benin
BES,BQ,ISO 3166-2:BQ,,"Boneyr, sint-estatius va saba","Бонейр, синт-эстатиус ва саба","Бонэйр, синт-эстатиус и саба","Boneyr, sint-estatius hám saba"
BFA,BF,ISO 3166-2:BF,17,Burkina-faso,Буркина-фасо,Буркина-фасо,Burkina-faso
