code,parent_code,parent_soato_id,parent_legacy_soato_id,soato_id,legacy_soato_id,administrative_type,name_uz,name_uz_cyril,name_ru,name_kaa,deleted
AN-202,UZ-AN,1703,17,1703202,1702,DISTRICT,Oltinko‘l tumani,Олтинкўл тумани,Алтынкульский район,Oltinkól rayonı,false
AN-203,UZ-AN,1703,17,1703203,1701,DISTRICT,Andijon tumani,Андижон тумани,Андижанский район,Andijon rayonı,false
AN-206,UZ-AN,1703,17,1703206,1704,DISTRICT,Baliqchi tumani,Балиқчи тумани,Балыкчинский район,Baliqchi rayonı,false
AN-209,UZ-AN,1703,17,1703209,1705,DISTRICT,Bo‘ston tumani,Бўстон тумани,Бустонский район,Bóston rayonı,false
AN-210,UZ-AN,1703,17,1703210,1713,DISTRICT,Buloqboshi tumani,Булоқбоши тумани,Булакбашинский район,Buloqboshi rayonı,false
AN-211,UZ-AN,1703,17,1703211,1709,DISTRICT,Jalaquduq tumani,Жалақудуқ тумани,Жалакудукский район,Jalaquduq rayonı,false
AN-214,UZ-AN,1703,17,1703214,1712,DISTRICT,Izboskan tumani,Избоскан тумани,Избасканский район,Izboskan rayonı,false
AN-217,UZ-AN,1703,17,1703217,1706,DISTRICT,Ulug‘nor tumani,Улуғнор тумани,Улугнорский район,Uluǵnor rayonı,false
AN-220,UZ-AN,1703,17,1703220,1708,DISTRICT,Qo‘rg‘ontepa tumani,Қўрғонтепа тумани,Кургантепинский район,Qórǵontepa rayonı,false
AN-224,UZ-AN,1703,17,1703224,1703,DISTRICT,Asaka tumani,Асака тумани,Асакинский район,Asaka rayonı,false
AN-227,UZ-AN,1703,17,1703227,1711,DISTRICT,Marxamat tumani,Мархамат тумани,Мархаматский район,Marxamat rayonı,false
AN-230,UZ-AN,1703,17,1703230,1707,DISTRICT,Shaxrixon tumani,Шахрихон тумани,Шахриханский район,Shaxrixon rayonı,false
