code,parent_code,parent_soato_id,soato_id,tin,name_uz,name_uz_cyril,name_ru,name_kaa,deleted
AN-202001,AN-202,1703202,1703202001,202853324,Dalvarzin,Далварзин,Далварзин,Dalvarzin,false
AN-202002,AN-202,1703202,1703202002,202853198,Jalabek,Жалабек,Жалабек,Jalabek,false
AN-202003,AN-202,1703202,1703202003,202853300,Qo‘shtepa,Қўштепа,Коштепа,Qóshtepa,false
AN-202004,AN-202,1703202,0,,Mexnat,Мехнат,Мехнат,Mexnat,true
AN-202005,AN-202,1703202,1703202005,202853292,Uyg‘ur,Уйғур,Уйгур,Uyǵur,false
AN-202006,AN-202,1703202,1703202006,202853317,Yangichek,Янгичек,Янгичек,Yangichek,false
AN-202007,AN-202,1703202,1703202007,202867006,Ayshaxonum,Айшахонум,Айшахонум,Ayshaxonum,false
AN-202008,AN-202,1703202,0,,Kumakay,Кумакай,Кумакай,Kumakay,true
AN-202009,AN-202,1703202,1703202009,202867060,Sadda,Садда,Садда,Sadda,false
AN-202010,AN-202,1703202,1703202010,202867014,Uyshin,Уйшин,Уйшин,Uyshin,false
AN-202011,AN-202,1703202,0,,Chek,Чек,Чек,Chek,true
AN-202012,AN-202,1703202,1703202011,202867053,Cho‘ntak,Чўнтак,Чонтак,Chóntak,false
AN-202013,AN-202,1703202,1703202013,202853284,Ayronchi,Айрончи,Айрончи,Ayronchi,false
AN-202014,AN-202,1703202,1703202014,202853260,Gulbog‘,Гулбоғ,Гулбог,Gulboǵ,false
AN-202015,AN-202,1703202,1703202015,202853277,Mirobod,Миробод,Миробод,Mirobod,false
AN-202016,AN-202,1703202,1703202016,202853253,Ors,Орс,Орс,Ors,false
AN-202017,AN-202,1703202,1703202017,203926714,Suvyulduz,Сувюлдуз,Сувюлдуз,Suvyulduz,false
AN-202018,AN-202,1703202,1703202018,202853238,Chaqqon-1,Чаққон-1,Чаккон-1,Chaqqon-1,false
AN-202019,AN-202,1703202,1703202019,202853221,Chaqqon-2,Чаққон-2,Чаккон-2,Chaqqon-2,false
AN-202020,AN-202,1703202,1703202020,202853245,Qashqar,Қашқар,Кашкар,Qashqar,false
AN-202021,AN-202,1703202,1703202046,202834839,Ijtimoyat,Ижтимоят,Ижтимоят,Ijtimoyat,false
