geo_type,soato_id,region_code,district_code,year,population,source,deleted
REPUBLIC,1700,,,2025,37543200,SDMX,false
REPUBLIC,1700,,,2026,38236700,SDMX,false
REGION,1735,UZ-QR,,2025,2029700,SDMX,false
REGION,1735,UZ-QR,,2026,2053200,SDMX,false
DISTRICT,1735401,UZ-QR,QR-401,2025,344700,SDMX,false
DISTRICT,1735401,UZ-QR,QR-401,2026,349400,SDMX,false
DISTRICT,1735204,UZ-QR,QR-204,2025,215600,SDMX,false
DISTRICT,1735204,UZ-QR,QR-204,2026,218700,SDMX,false
DISTRICT,1735207,UZ-QR,QR-207,2025,209000,SDMX,false
DISTRICT,1735207,UZ-QR,QR-207,2026,212600,SDMX,false
DISTRICT,1735209,UZ-QR,QR-209,2025,21900,SDMX,false
DISTRICT,1735209,UZ-QR,QR-209,2026,21800,SDMX,false
DISTRICT,1735211,UZ-QR,QR-211,2025,54700,SDMX,false
DISTRICT,1735211,UZ-QR,QR-211,2026,54800,SDMX,false
DISTRICT,1735212,UZ-QR,QR-212,2025,75400,SDMX,false
DISTRICT,1735212,UZ-QR,QR-212,2026,75900,SDMX,false
DISTRICT,1735215,UZ-QR,QR-215,2025,137200,SDMX,false
DISTRICT,1735215,UZ-QR,QR-215,2026,138400,SDMX,false
DISTRICT,1735218,UZ-QR,QR-218,2025,54300,SDMX,false
DISTRICT,1735218,UZ-QR,QR-218,2026,54800,SDMX,false
DISTRICT,1735222,UZ-QR,QR-222,2025,33900,SDMX,false
DISTRICT,1735222,UZ-QR,QR-222,2026,34100,SDMX,false
DISTRICT,1735225,UZ-QR,QR-225,2025,55000,SDMX,false
DISTRICT,1735225,UZ-QR,QR-225,2026,55900,SDMX,false
DISTRICT,1735228,UZ-QR,QR-228,2025,77400,SDMX,false
DISTRICT,1735228,UZ-QR,QR-228,2026,77800,SDMX,false
DISTRICT,1735230,UZ-QR,QR-230,2025,38900,SDMX,false
DISTRICT,1735230,UZ-QR,QR-230,2026,38900,SDMX,false
DISTRICT,1735233,UZ-QR,QR-233,2025,232500,SDMX,false
DISTRICT,1735233,UZ-QR,QR-233,2026,236100,SDMX,false
DISTRICT,1735236,UZ-QR,QR-236,2025,130100,SDMX,false
DISTRICT,1735236,UZ-QR,QR-236,2026,131300,SDMX,false
DISTRICT,1735240,UZ-QR,QR-240,2025,116600,SDMX,false
DISTRICT,1735240,UZ-QR,QR-240,2026,117100,SDMX,false
DISTRICT,1735243,UZ-QR,QR-243,2025,58500,SDMX,false
DISTRICT,1735243,UZ-QR,QR-243,2026,58700,SDMX,false
DISTRICT,1735250,UZ-QR,QR-250,2025,174000,SDMX,false
DISTRICT,1735250,UZ-QR,QR-250,2026,176900,SDMX,false
REGION,1703,UZ-AN,,2025,3461000,SDMX,false
REGION,1703,UZ-AN,,2026,3521800,SDMX,false
DISTRICT,1703401,UZ-AN,AN-401,2025,492400,SDMX,false
DISTRICT,1703401,UZ-AN,AN-401,2026,503500,SDMX,false
DISTRICT,1703408,UZ-AN,AN-408,2025,46500,SDMX,false
DISTRICT,1703408,UZ-AN,AN-408,2026,47000,SDMX,false
DISTRICT,1703202,UZ-AN,AN-202,2025,194300,SDMX,false
DISTRICT,1703202,UZ-AN,AN-202,2026,196500,SDMX,false
DISTRICT,1703203,UZ-AN,AN-203,2025,292600,SDMX,false
DISTRICT,1703203,UZ-AN,AN-203,2026,298600,SDMX,false
DISTRICT,1703206,UZ-AN,AN-206,2025,220200,SDMX,false
DISTRICT,1703206,UZ-AN,AN-206,2026,224100,SDMX,false
DISTRICT,1703209,UZ-AN,AN-237,2025,79700,SDMX,false
DISTRICT,1703209,UZ-AN,AN-237,2026,81300,SDMX,false
