code,tin,name_ru
AN-202001,202853324,Далварзин
AN-202002,202853198,Жалабек
AN-202003,202853300,Коштепа
AN-202005,202853292,Уйгур
AN-202006,202853317,Янгичек
AN-202007,202867006,Айшахонум
AN-202009,202867060,Садда
AN-202010,202867014,Уйшин
AN-202012,202867053,Чонтак
AN-202013,202853284,Айрончи
AN-202014,202853260,Гулбог
AN-202015,202853277,Миробод
AN-202016,202853253,Орс
AN-202017,203926714,Сувюлдуз
AN-202018,202853238,Чаккон-1
AN-202019,202853221,Чаккон-2
AN-202020,202853245,Кашкар
AN-202021,202834839,Ижтимоят
AN-202022,202831486,Иттифок
AN-202025,202834774,Максад
AN-202026,202834782,Хасан-Хусан
AN-202028,202834807,Еркин
AN-202029,202834743,Бостон
AN-202030,202831526,Сарой-1
AN-202031,202831534,Сарой-2
AN-202032,202834822,Иттифок
AN-202033,202834735,Октепа
AN-202034,202834750,Катта октепа
AN-202036,202834767,Мамаюсуфчек
AN-202037,202831479,Марказ
AN-202038,202831502,Намуна
AN-202040,202831454,Кайирма
AN-202041,202847497,Мадярчек
AN-202042,202831462,Темирхожа
AN-202043,202847480,Хондибоги
AN-202044,202831447,Ганжировон
AN-202045,202881149,Ортаарик
AN-202046,202886125,Кипчок
AN-202047,202878618,Котармачек
AN-202048,202853181,Узун коча
AN-202049,202853134,Андижон
AN-202050,202853166,Кошкоприк
AN-202051,202853142,Сарой
AN-202052,202853159,Сафаробод
AN-202053,202853103,Топтик
AN-202054,202853174,Орта
AN-202055,202853127,Шарк юлдузи
AN-202056,203662704,Октумор
AN-17090022,207130065,Мадани Мeхнат-2
AN-17090016,202831519,Коракалпок
AN-17090027,202853094,Мeхнат
AN-17090017,202867021,Комакай
AN-17090054,309193348,Шайхислом
AN-17090033,202831494,Офтобачeк
AN-17090059,309193617,Интизом
AN-17090058,309178404,Мустакиллик
AN-17090052,202867038,Гулистон
AN-17090049,202834814,Хожа
AN-17090021,202834799,Мадани Мeхнат-1
AN-203001,203683869,Ойжамол
AN-203002,203683876,Дарё буйи
AN-203003,203683884,Бахт
AN-203004,203683891,Саноат
AN-203005,203470224,Полосон
AN-203006,203640408,Юксалиш
AN-203007,203691542,Толмозор
AN-203008,203691534,Найманобод
AN-203009,203691559,Кошарик
AN-203010,203691527,Нохатак
AN-203012,203691503,Хужа
AN-203013,203691510,Миробод
AN-203014,203683038,Янгиобод
AN-203015,203683006,Гулобод
AN-203016,204341969,Коконлик
AN-203017,203683021,Бобогози
AN-203018,203683820,Айланпа
AN-203020,203683053,Чонгбогич
AN-203021,203683045,Чавкандарё
AN-203026,203310929,Бешбойнок
AN-203027,203310944,Экин-тикин
AN-203028,204072773,Чорбог
AN-203029,203711760,Султонобод
AN-203030,203345132,Март
AN-203031,203345156,Навроз
AN-203032,203345149,Окроввот
AN-203033,203345124,Мустакиллик
AN-203034,204078851,Бешпахлавон
AN-203036,204100753,Намуна
AN-203038,203683837,Орол
AN-203039,203683852,Рохат
AN-203040,203683844,Сайдилобод
AN-203041,203683060,Курама
AN-203042,203683077,Зангибобо
AN-203043,203683084,Янги йул
AN-203044,203683092,Интилиш
AN-203045,203683100,Огуллик
AN-203046,203683117,Кум куча
AN-203047,203683124,Гумбаз
AN-203048,203683132,Чем
AN-203049,203683149,Коратут
AN-203050,203683156,Дархон
AN-203052,203683171,Нурафшон
AN-203053,203681737,Достлик
AN-203054,203682989,Тошлок
AN-203055,203681752,Тeрак-таги
AN-203056,203681744,Кошчинор
AN-203058,203682996,Мингорик
AN-203059,203681776,Роввот
AN-203060,203213834,Урикзор
AN-203061,203213881,Исломобод
AN-203062,203213803,Янги тулкин
AN-203063,203213810,Жевачи
AN-203064,203213827,Гузар
AN-203065,203213859,Буюк Турон
AN-203066,203213874,Заврок
AN-203069,203681713,Кенгаш
AN-203070,203681705,Саддатаги
AN-203071,203681720,Гулистон
AN-203072,203681673,Хакикат
AN-203073,203681680,Отчопар
AN-203074,203681641,Донгкишлок
AN-203075,203681665,Каттагузар
AN-203076,203681658,Шарк юлдузи
AN-203077,203681697,Чилон
AN-17010003,203683164,Бахор
AN-17010028,203470231,Истиклол
AN-17010079,310115301,Урикзор-2
AN-17010017,203345164,Дeхкон
AN-17010002,203310936,Иттифок
AN-17010078,207336544,Оби-хаёт
AN-17010021,203681769,Жаннатмонанд
AN-17010018,204371719,Дулдур
AN-17010022,203213866,Жахонобод
AN-17010031,203683014,Коракалпок
AN-17010005,204772345,Бекобод
AN-206001,202286380,Адолат
AN-206002,202286420,Аълам
AN-206003,202286365,Гузар
AN-206004,202286341,Гулшан
AN-206005,202286413,Дарё буйи
AN-206006,202286334,Догистон
AN-206007,202286326,Илгор
AN-206008,202286373,Кахрамон
AN-206009,202286397,Коргонча
AN-206010,202286294,Маллачек
AN-206011,202286262,Навнихол
AN-206013,202286247,Октепа
AN-206014,202286254,Сиза
AN-206016,202286230,Товулди
AN-206017,202286223,Тулкиобод
AN-206018,204032671,Олмас
AN-206019,202286405,Файзиобод
AN-206020,202286358,Юзчинор
AN-206021,204032688,Янги хаёт
AN-206023,202286144,Достлик
AN-206024,202286183,Зулфикор
AN-206028,202286168,Полвонкул
AN-206029,202286136,Саховат
AN-206030,204047597,Халфачек
AN-206032,202286129,Эшончек
AN-206033,202286175,Юртобод
AN-206036,207110295,Аралхон
AN-206037,202286444,Афсона
AN-206039,202286452,Жартепа
AN-206040,202286040,Каттабулок
AN-206041,205350434,Кол
AN-206042,202286057,Марказ
AN-206043,304974296,Матонат
AN-206044,202286072,Оккоргон
AN-206045,202285991,Серкуёш
AN-206046,202286001,Ортакоргон
AN-206047,202286033,Эски марказ
AN-206048,202286025,Яккатол
AN-206049,202286104,Баркамол
AN-206050,202286476,Ботир
AN-206051,202286096,Жасорат
AN-206052,202286516,Захкаш
AN-206054,204074525,Кул буйи
AN-206055,202286548,Кияли
AN-206056,202286563,Кумтепа
AN-206057,202286509,Нурафшон
