code,deleted
AN-209,true
AN-409,true
AN-410,true
AN-411,true
BU-259,true
BU-260,true
BU-404,true
BU-405,true
FA-243,true
FA-244,true
FA-413,true
FA-414,true
JI-238,true
NG-402,true
NG-403,true
NG-404,true
NG-405,true
NG-406,true
NW-252,true
NW-413,true
QA-240,true
QA-251,true
QR-402,true
QR-403,true
QR-404,true
QR-405,true
QR-406,true
QR-407,true
SA-239,true
SA-240,true
SA-241,true
SA-242,true
SA-243,true
SA-407,true
SA-408,true
SI-236,true
SI-414,true
SI-415,true
SU-227,true
SU-402,true
TO-425,true
XO-237,true
