code,deleted
AN-202004,true
AN-202008,true
AN-202011,true
AN-202023,true
AN-202024,true
AN-202027,true
AN-202035,true
AN-202039,true
AN-203011,true
AN-203019,true
AN-203022,true
AN-203023,true
AN-203024,true
AN-203025,true
AN-203035,true
AN-203037,true
AN-203051,true
AN-203057,true
AN-203067,true
AN-203068,true
AN-312579214,true
AN-206012,true
AN-206015,true
AN-206022,true
AN-206025,true
AN-206026,true
AN-206027,true
AN-206031,true
AN-206034,true
AN-206035,true
AN-206038,true
AN-206053,true
AN-209013,true
AN-209019,true
AN-209021,true
AN-209023,true
AN-209025,true
AN-210012,true
AN-210014,true
AN-210015,true
AN-210016,true
AN-210018,true
AN-210022,true
AN-211003,true
AN-211009,true
AN-211011,true
AN-211016,true
AN-211017,true
AN-211018,true
AN-211019,true
AN-211034,true
AN-211038,true
AN-211040,true
AN-211043,true
AN-211050,true
AN-211057,true
AN-211063,true
AN-214001,true
AN-214003,true
AN-214007,true
AN-214011,true
AN-214032,true
AN-214039,true
AN-214049,true
AN-214052,true
AN-214062,true
AN-217001,true
AN-217008,true
AN-220005,true
AN-220006,true
AN-220009,true
AN-220011,true
AN-220012,true
AN-220014,true
AN-220016,true
AN-220021,true
AN-220022,true
AN-220027,true
AN-220033,true
AN-220035,true
AN-220039,true
AN-220043,true
AN-220052,true
AN-220057,true
AN-220060,true
AN-220062,true
AN-220063,true
AN-220066,true
AN-220068,true
AN-220070,true
AN-220071,true
AN-220073,true
AN-224001,true
AN-224007,true
AN-224010,true
AN-224011,true
AN-224022,true
AN-224023,true
AN-224027,true
AN-224054,true
AN-224056,true
AN-224065,true
AN-224067,true
AN-227011,true
AN-227019,true
AN-227030,true
AN-227038,true
AN-230001,true
AN-230003,true
AN-230017,true
AN-230018,true
AN-230019,true
AN-230035,true
AN-230047,true
AN-230055,true
AN-230057,true
AN-230059,true
AN-230062,true
AN-230063,true
AN-230067,true
AN-230075,true
AN-232008,true
AN-232009,true
AN-232014,true
AN-232032,true
AN-232046,true
AN-232051,true
AN-232055,true
AN-232060,true
AN-236003,true
AN-236006,true
AN-236007,true
AN-236011,true
AN-236028,true
AN-236029,true
AN-237999,true
AN-401015,true
AN-401021,true
AN-401022,true
AN-401033,true
AN-401064,true
AN-401069,true
AN-401075,true
AN-401076,true
AN-401081,true
AN-408013,true
AN-408014,true
AN-409999,true
AN-410999,true
AN-411999,true
BU-204003,true
BU-204005,true
BU-204006,true
BU-204009,true
BU-204010,true
BU-204016,true
BU-204018,true
BU-204025,true
BU-204028,true
BU-204030,true
BU-207017,true
BU-212002,true
BU-212003,true
BU-212006,true
BU-212008,true
BU-212014,true
BU-212017,true
BU-212020,true
BU-212028,true
BU-212029,true
BU-212035,true
BU-212039,true
BU-212044,true
BU-215010,true
BU-215015,true
BU-215017,true
BU-215023,true
BU-215024,true
BU-215026,true
BU-215029,true
BU-215040,true
BU-215045,true
BU-215046,true
BU-215048,true
BU-215055,true
BU-215056,true
BU-215061,true
BU-215063,true
BU-215065,true
BU-215070,true
BU-215071,true
BU-215072,true
BU-219001,true
BU-219004,true
BU-219009,true
BU-219015,true
BU-219017,true
BU-219020,true
BU-230006,true
BU-230008,true
BU-230012,true
BU-230018,true
BU-230019,true
BU-230020,true
BU-230032,true
BU-230034,true
BU-230038,true
BU-230041,true
BU-230045,true
BU-240004,true
BU-240016,true
BU-240018,true
BU-240028,true
BU-242003,true
BU-242006,true
BU-242009,true
BU-242015,true
BU-242025,true
BU-242026,true
BU-242040,true
BU-246002,true
BU-246016,true
BU-246032,true
BU-246033,true
BU-258008,true
BU-258016,true
BU-258020,true
BU-258025,true
BU-258030,true
BU-258032,true
BU-258040,true
BU-258048,true
BU-259999,true
BU-260999,true
BU-401001,true
BU-401002,true
BU-401004,true
BU-401005,true
BU-401007,true
BU-401008,true
BU-401009,true
BU-401010,true
BU-401011,true
BU-401017,true
BU-401019,true
BU-401020,true
BU-401028,true
BU-401033,true
BU-401037,true
BU-401040,true
BU-401043,true
BU-401051,true
BU-401053,true
BU-401055,true
BU-401057,true
BU-401061,true
BU-401062,true
BU-401063,true
BU-403004,true
BU-403005,true
BU-403006,true
BU-403007,true
BU-403013,true
BU-403015,true
BU-403016,true
BU-403017,true
BU-403020,true
BU-404999,true
BU-405999,true
FA-203001,true
FA-203006,true
FA-203010,true
FA-203012,true
FA-203027,true
FA-203037,true
FA-206016,true
FA-206025,true
FA-206037,true
FA-206040,true
FA-206047,true
FA-209003,true
FA-209019,true
FA-209023,true
FA-209025,true
FA-209026,true
FA-209035,true
FA-209046,true
FA-212014,true
