tin,district_soato,uzcad_code,code,name_uz_latin,name_uz_cyril,name_ru
207140195,1735204,1735204017,23010008,Bog',Боғ,Бог
207140211,1735204,1735204018,23010012,Bo‘z solma,Бўз солма,Боз солма
207140339,1735204,1735204016,23010005,Besh ovul,Беш овул,Беш овул
207140014,1735204,1735204002,23010010,Bosuv,Босув,Босув
202781938,1735204,1735204046,23010013,Bo‘ston,Бўстон,Бостон
207168136,1735204,1735204003,23010014,Gulzor,Гулзор,Гулзор
202781953,1735204,1735204030,23010009,Boyovul,Боёвул,Боёвул
207140038,1735204,1735204039,23010035,Tor yop,Тор ёп,Тор ёп
207140171,1735204,1735204037,23010022,Qizil choli,Қизил чоли,Кизил чоли
207140124,1735204,1735204004,23010015,Daryo bo‘yi,Дарё бўйи,Дарё буйи
207140156,1735204,1735204047,23010031,Namuna,Намуна,Намуна
202781960,1735204,1735204020,23010018,Do‘stlik,Дўстлик,Дустлик
207168112,1735204,1735204029,23010049,Yangiobod,Янгиобод,Янгиобод
207140132,1735204,1735204010,23010040,Uyshin,Уйшин,Уйшин
203553333,1735204,1735204005,23010025,Qipchoq,Қипчоқ,Кипчок
202784854,1735204,1735204008,23010034,Olmazor,Олмазор,Олмазор
207168144,1735204,1735204032,23010017,Durunki,Дурунки,Дурунки
207140188,1735204,1735204015,23010003,Arna bo‘yi,Арна бўйи,Арна буйи
202781921,1735204,1735204007,23010032,Oybek,Ойбек,Ойбек
207140228,1735204,1735204013,23010001,Ayoqchi,Аёқчи,Аёкчи
305306190,1735204,1735204025,23010042,Farovon,Фаровон,Фаровон
207140117,1735204,1735204028,23010048,Yuqori qishloq,Юқори қишлоқ,Юкори кишлок
207140243,1735204,1735204043,23010027,Qum yop,Қум ёп,Кум ёп
207140149,1735204,1735204001,23010006,Besh tom,Беш том,Беш том
202781906,1735204,1735204045,23010004,Beruniy,Беруний,Беруний
202781945,1735204,1735204049,23010047,Chordara,Чордара,Чордара
207140204,1735204,1735204022,23010026,Qoramon,Қорамон,Корамон
207140164,1735204,1735204040,23010039,O'zbekiston,Ўзбекистон,Узбекистон
207140235,1735204,1735204033,23010019,Jumur ovul,Жумур овул,Жумур овул
203553293,1735204,1735204012,23010030,Nazarxon,Назархон,Назархон
207139994,1735204,1735204026,23010043,Xizir eli,Хизир эли,Хизир эли
202781977,1735204,1735204044,23010029,A.Navoiy,А.Навоий,А.Навои
207140100,1735204,1735204023,23010037,Tosh qal’a,Тош қалъа,Тош калъа
203553325,1735204,1735204011,23010046,Choyko‘l,Чойкўл,Чойкул
203553285,1735204,1735204034,23010020,Jumurtau,Жумуртау,Жумуртау
305306136,1735204,1735204006,23010024,Qipchoq,Қипчоқ,Кипчок
203553278,1735204,1735204031,23010011,Bo‘z yop,Бўз ёп,Буз ёп
203553340,1735204,1735204042,23010021,Qangli,Қангли,кангли
